N,P,K,EC,Fe,Output
158,6.26,319,0.47,8.66,0
274,18.66,474,0.75,7.97,1
360,12.39,823,0.8,8.29,2
184,6.06,365,0.68,3.27,0
369,11.87,812,0.8,9.03,2
260,6.38,604,0.37,6.37,0
142,7.56,676,0.43,0.21,0
356,12.24,804,0.8,9.03,2
328,5.39,613,0.46,0.92,1
360,11.78,823,0.8,8.62,2
338,10.03,336,0.56,3.37,1
310,10.37,457,0.47,10.11,1
357,12.31,829,0.8,8.6,2
207,7.74,423,0.53,3.6,0
305,9.42,332,0.6,4.55,1
319,9.16,381,0.52,6.0,1
367,12.17,820,0.8,9.03,2
361,11.93,828,0.8,8.96,2
212,7.53,416,0.66,2.91,0
206,7.43,442,0.59,6.09,0
12,6.66,300,0.73,0.3,0
208,6.53,347,0.51,3.04,0
373,12.04,814,0.8,8.87,2
370,11.82,829,0.8,8.9,2
369,11.77,834,0.8,9.03,2
368,12.16,816,0.8,9.03,2
268,8.86,381,0.76,4.56,0
374,11.64,820,0.8,8.88,2
352,9.78,477,0.36,4.35,1
258,7.73,398,0.51,6.3,0
203,6.25,431,0.59,3.99,0
347,7.18,498,0.77,6.28,1
293,9.52,362,0.49,4.24,1
262,7.06,592,0.44,4.94,0
370,12.67,812,0.8,8.7,2
314,8.98,482,0.47,5.38,1
365,11.75,834,0.8,8.69,2
234,6.83,292,0.6,4.45,0
368,11.76,801,0.8,9.03,2
114,7.93,402,0.86,2.93,0
363,12.15,819,0.8,9.03,2
224,9.74,447,0.51,3.32,1
368,11.67,836,0.8,9.02,2
365,12.33,824,0.8,9.03,2
294,9.82,279,0.8,1.38,1
364,12.3,818,0.8,8.61,2
55,8.16,539,0.56,1.61,0
275,11.55,559,0.49,5.11,1
362,12.19,841,0.8,9.03,2
180,7.73,451,0.5,6.73,0
180,5.84,642,0.62,6.41,0
373,12.7,826,0.8,8.76,2
184,8.4,574,0.82,2.58,0
377,12.04,828,0.8,9.03,2
361,11.55,825,0.8,9.03,2
213,8.45,488,0.74,8.54,0
196,8.2,533,0.52,4.6,0
304,2.9,726,0.51,1.52,1
303,9.22,359,0.31,6.66,1
365,12.14,835,0.8,9.03,2
248,8.15,420,0.36,6.86,0
367,12.58,830,0.8,8.86,2
363,12.11,826,0.8,8.68,2
294,11.64,591,0.6,3.96,1
361,11.91,809,0.8,9.03,2
128,8.98,360,0.78,6.89,0
376,11.94,834,0.8,8.8,2
356,7.88,627,0.64,0.22,1
341,10.14,354,0.26,0.96,1
362,11.53,833,0.8,8.62,2
367,11.49,838,0.8,9.03,2
368,12.29,822,0.8,8.68,2
146,7.62,490,0.46,0.22,1
373,12.55,824,0.8,8.03,2
284,9.15,566,0.63,8.05,1
358,12.24,818,0.8,9.03,2
170,8.93,471,0.48,2.89,0
305,11.81,498,0.6,0.65,1
326,11.04,368,0.37,4.61,1
345,11.96,748,0.56,5.46,1
358,11.77,821,0.8,9.03,2
248,101.81,400,0.57,7.01,1
287,9.44,525,0.57,0.53,1
183,7.22,472,0.52,1.37,0
358,12.2,820,0.8,8.87,2
355,11.79,819,0.8,8.57,2
247,9.81,442,0.52,4.48,0
249,8.43,444,0.46,2.53,1
359,7.63,611,0.54,0.73,1
367,12.39,830,0.8,8.71,2
186,6.84,552,0.3,9.39,0
377,12.21,820,0.8,8.92,2
365,11.92,814,0.8,8.91,2
197,3.9,381,0.57,4.23,0
373,12.33,843,0.8,8.96,2
288,10.0,523,0.26,2.29,1
205,8.88,592,0.27,3.31,0
145,6.66,434,0.36,1.92,0
222,8.66,543,0.6,4.77,0
356,12.4,828,0.8,9.03,2
158,7.97,456,0.45,3.55,0
366,12.01,821,0.8,9.03,2
262,11.93,481,0.67,3.88,1
364,12.09,820,0.8,9.03,2
122,87.56,419,0.53,5.43,0
261,9.56,434,0.63,5.22,1
365,11.75,831,0.8,9.03,2
318,9.56,404,0.54,3.81,1
245,4.8,485,0.47,3.13,0
213,7.69,444,0.42,4.38,0
262,97.44,657,0.49,5.59,1
330,7.91,415,0.66,1.19,1
371,11.63,822,0.8,8.82,2
254,79.9,431,0.6,4.17,1
360,11.98,817,0.8,9.03,2
375,11.95,824,0.8,8.67,2
188,4.93,322,0.75,3.86,0
71,5.84,542,0.6,3.93,0
353,11.59,812,0.8,9.03,2
201,7.56,479,0.67,1.12,0
369,11.99,822,0.8,9.03,2
272,122.8,576,0.49,9.54,1
374,12.21,829,0.8,8.93,2
166,9.22,458,0.55,2.4,0
192,9.67,449,0.64,3.19,0
104,5.85,371,0.52,7.36,0
364,12.0,817,0.8,9.03,2
367,11.9,833,0.8,9.03,2
200,59.55,775,0.7,3.07,0
368,12.07,825,0.8,8.38,2
316,8.53,380,0.59,2.36,1
192,7.5,430,0.5,1.98,0
367,12.04,832,0.8,8.29,2
312,10.74,333,0.61,0.22,1
186,6.68,458,0.6,4.19,0
365,11.59,830,0.8,9.02,2
370,12.19,804,0.8,9.03,2
319,6.9,525,0.53,0.21,0
270,10.58,529,0.4,5.27,1
372,12.58,837,0.8,9.03,2
207,10.34,361,0.46,4.28,0
369,11.57,814,0.8,9.03,2
170,5.19,509,0.65,5.1,0
367,12.16,823,0.8,8.9,2
143,5.75,463,0.48,0.21,0
267,7.4,495,0.58,3.26,1
318,9.99,542,0.7,2.73,1
150,7.6,466,0.49,6.83,0
229,6.93,444,0.76,3.14,0
259,15.88,547,0.57,3.95,1
370,12.22,821,0.8,8.72,2
287,13.83,423,0.43,5.1,1
185,6.66,424,0.6,6.96,0
362,12.6,834,0.8,8.91,2
281,82.68,429,0.49,3.55,1
23,7.11,538,0.26,0.74,0
43,8.48,558,0.53,3.56,0
369,12.34,826,0.8,8.88,2
171,4.74,512,0.56,5.71,0
227,7.21,746,0.61,4.42,0
311,8.57,571,0.52,5.16,1
147,6.63,439,0.41,3.27,0
357,11.99,823,0.8,8.99,2
299,13.5,693,0.51,0.22,1
224,7.08,467,0.53,4.61,0
366,12.32,831,0.8,8.75,2
361,12.04,816,0.8,9.03,2
359,11.9,822,0.8,9.03,2
361,11.85,841,0.8,8.93,2
368,11.76,811,0.8,9.03,2
278,7.31,364,0.28,0.22,1
368,11.91,824,0.8,8.93,2
363,11.81,842,0.8,8.62,2
101,7.43,472,0.35,4.74,0
368,11.98,824,0.8,8.35,2
344,11.03,618,0.5,4.34,1
361,11.77,826,0.8,9.03,2
141,7.92,449,0.41,2.85,0
184,9.55,404,0.7,3.64,0
189,75.96,543,0.31,4.16,0
288,7.75,687,0.31,3.56,0
262,13.76,545,0.74,3.74,1
363,11.74,829,0.8,9.03,2
287,9.71,446,0.51,3.48,1
368,11.68,835,0.8,9.03,2
365,12.04,817,0.8,8.39,2
367,11.88,833,0.8,9.03,2
365,12.17,836,0.8,9.01,2
364,12.01,823,0.8,9.03,2
368,12.11,824,0.8,8.9,2
203,6.83,531,0.68,0.22,1
366,11.56,836,0.8,9.03,2
212,8.6,508,0.6,4.79,0
361,12.47,835,0.8,8.63,2
355,5.81,387,0.74,3.3,1
362,12.46,824,0.8,8.89,2
329,10.19,548,0.73,4.28,1
360,12.15,832,0.8,8.79,2
368,12.48,818,0.8,8.65,2
367,11.66,841,0.8,9.03,2
372,11.67,817,0.8,8.84,2
125,8.81,387,0.67,8.06,0
375,12.19,827,0.8,8.42,2
340,7.77,526,0.63,5.43,1
365,11.65,839,0.8,9.03,2
365,11.84,828,0.8,9.03,2
73,6.95,589,0.57,0.99,0
160,6.03,367,0.73,6.26,0
363,11.79,824,0.8,8.99,2
358,12.07,821,0.8,8.79,2
318,9.1,608,0.63,6.95,1
367,12.04,843,0.8,9.03,2
339,7.81,585,0.58,3.22,1
270,11.42,470,0.57,1.43,1
175,3.9,280,0.52,3.67,0
223,6.07,293,0.63,7.62,0
274,34.55,802,0.75,3.78,1
367,12.34,816,0.8,9.03,2
365,11.79,822,0.8,9.03,2
344,8.83,512,0.51,5.52,1
367,11.74,810,0.8,8.28,2
356,7.98,460,0.58,4.6,1
370,11.55,842,0.8,9.03,2
366,12.2,839,0.8,9.03,2
366,12.6,816,0.8,9.03,2
361,12.21,820,0.8,9.03,2
365,12.24,820,0.8,9.03,2
363,12.14,827,0.8,9.03,2
355,11.97,830,0.8,8.86,2
370,11.19,829,0.8,9.03,2
362,12.06,836,0.8,9.03,2
280,9.68,525,0.69,0.22,1
148,6.18,405,0.81,0.21,0
269,11.51,440,0.63,4.83,1
363,12.09,826,0.8,8.86,2
215,4.98,749,0.54,10.55,0
270,10.07,492,0.51,2.45,1
167,6.39,365,0.63,5.28,0
271,17.56,540,0.63,3.49,1
324,8.43,542,0.63,4.54,1
361,11.99,831,0.8,9.03,2
289,9.3,406,0.74,5.22,1
200,8.76,475,0.71,0.59,0
324,10.6,431,0.3,0.38,1
272,8.26,418,0.64,3.15,0
282,7.05,383,0.71,3.71,1
358,12.69,833,0.8,8.97,2
266,4.67,698,0.47,3.13,1
360,11.48,829,0.8,9.03,2
365,12.38,828,0.8,9.03,2
233,7.16,411,0.62,2.6,0
372,11.99,833,0.8,9.03,2
209,7.62,691,0.44,0.21,0
372,10.15,393,0.59,0.22,1
239,3.9,741,0.4,0.84,0
332,6.69,557,0.6,1.22,1
314,8.03,746,0.57,3.38,1
301,11.52,725,0.62,4.96,1
373,11.52,825,0.8,9.03,2
354,12.49,821,0.8,9.03,2
362,12.03,827,0.8,9.03,2
342,7.63,399,0.43,3.98,1
363,12.07,835,0.8,9.03,2
323,12.81,407,0.31,2.41,1
209,5.15,432,0.38,7.18,0
204,7.24,506,0.61,0.89,0
279,12.76,574,0.68,4.01,1
269,102.8,491,0.44,5.05,1
232,6.08,498,0.62,4.57,0
285,5.71,752,0.51,2.55,1
361,11.98,823,0.8,9.03,2
370,7.69,564,0.62,3.08,1
315,12.79,359,0.63,4.48,1
375,12.1,824,0.8,8.95,2
194,8.76,376,0.66,7.19,0
363,12.14,825,0.8,9.03,2
143,8.02,278,0.63,1.19,0
359,12.03,826,0.8,8.71,2
313,13.75,524,0.51,3.01,1
362,12.06,832,0.8,8.81,2
247,13.16,494,0.49,5.63,1
332,9.68,590,0.71,7.74,1
226,5.9,571,0.47,6.94,0
351,15.25,771,0.43,2.28,1
365,12.14,831,0.8,8.63,2
359,12.63,842,0.8,9.03,2
234,7.14,553,0.7,2.58,0
214,8.65,441,0.28,1.29,0
302,7.64,488,0.43,4.35,1
310,8.39,490,0.42,1.29,1
303,8.14,375,0.68,0.31,1
277,8.98,553,0.62,7.59,1
147,5.71,443,0.52,1.77,0
183,6.59,527,0.52,6.42,0
339,7.63,486,0.39,4.23,1
181,6.92,597,0.43,6.26,0
321,13.16,530,0.48,1.86,1
170,6.76,406,0.44,8.1,0
361,12.82,809,0.8,8.63,2
364,12.11,822,0.8,9.02,2
207,7.11,532,0.83,7.33,0
113,8.81,440,0.36,4.11,0
248,8.85,569,0.74,3.72,0
366,12.13,829,0.8,8.17,2
159,10.76,536,0.67,9.69,0
146,6.68,402,0.72,1.42,0
363,11.72,823,0.8,9.03,2
294,7.29,426,0.38,6.84,1
317,4.53,480,0.63,2.31,1
361,11.91,842,0.8,8.98,2
208,7.99,222,0.66,2.54,0
303,12.11,467,0.81,5.83,1
359,12.35,817,0.8,9.03,2
210,7.44,427,0.49,3.05,0
368,11.99,832,0.8,8.49,2
214,6.95,698,0.62,4.81,0
362,12.25,815,0.8,8.97,2
227,7.3,559,0.35,3.62,0
235,8.47,395,0.75,7.21,1
282,5.32,395,0.55,2.41,1
209,6.44,414,0.76,1.14,0
197,6.03,571,0.54,0.21,0
195,5.97,451,0.36,5.28,0
260,14.7,623,0.44,7.41,1
179,4.8,448,0.42,4.55,0
314,11.2,629,0.67,7.95,1
301,2.9,441,0.31,1.45,1
260,79.79,396,0.63,4.06,1
144,7.03,583,0.45,4.66,0
367,12.2,820,0.8,8.76,2
280,11.1,509,0.55,4.26,1
373,11.89,827,0.8,9.03,2
71,7.78,363,0.55,0.21,0
374,11.88,834,0.8,9.03,2
287,15.78,471,0.69,2.88,1
353,9.94,566,0.74,1.01,1
371,12.13,802,0.8,8.34,2
366,12.36,833,0.8,9.03,2
148,6.53,571,0.73,0.73,0
365,11.6,828,0.8,9.0,2
372,7.65,708,0.59,2.87,1
367,11.6,818,0.8,8.75,2
80,70.64,490,0.54,4.17,0
329,9.72,510,0.45,3.26,1
190,6.28,438,0.27,3.25,0
169,10.53,455,0.52,5.6,0
362,12.53,818,0.8,9.03,2
291,12.28,525,0.38,11.33,1
251,8.54,521,0.72,1.8,0
271,5.94,607,0.65,5.39,1
364,11.99,831,0.8,9.03,2
360,11.63,816,0.8,8.83,2
366,12.11,819,0.8,9.03,2
336,6.47,400,0.64,4.05,1
170,8.64,333,0.41,7.9,0
367,11.75,843,0.8,8.9,2
335,7.04,338,0.56,3.48,1
347,3.85,377,0.51,4.49,1
355,11.76,830,0.8,9.03,2
363,12.74,822,0.8,9.03,2
370,12.06,831,0.8,9.03,2
315,7.12,415,0.42,3.99,1
170,6.73,419,0.51,3.39,0
183,7.23,605,0.38,3.14,0
274,6.95,597,0.51,10.43,1
214,3.9,364,0.48,5.74,0
369,12.36,839,0.8,8.65,2
359,12.48,818,0.8,8.96,2
369,11.94,823,0.8,9.03,2
367,12.06,829,0.8,8.65,2
219,5.09,577,0.67,10.55,0
374,11.58,817,0.8,9.03,2
363,8.99,381,0.64,7.8,1
189,10.13,335,0.88,0.21,0
355,11.53,818,0.8,9.03,2
267,10.19,594,0.61,0.51,1
133,8.3,465,0.41,2.22,0
217,8.26,467,0.25,6.73,0
95,7.36,495,0.41,10.48,0
161,3.9,297,0.5,6.43,0
205,4.56,464,0.56,2.54,0
127,9.75,615,0.43,0.99,1
198,9.57,438,0.58,4.64,0
319,9.19,641,0.53,6.35,1
198,5.92,607,0.65,4.47,0
157,6.36,326,0.63,2.55,0
366,11.44,820,0.8,8.67,2
365,11.63,826,0.8,9.03,2
291,9.68,449,0.43,0.22,1
361,12.52,821,0.8,8.82,2
289,10.06,780,0.38,2.23,1
301,9.39,587,0.54,6.34,1
367,12.4,816,0.8,8.94,2
360,12.86,823,0.8,8.32,2
182,72.81,804,0.63,3.13,0
369,12.32,825,0.8,9.01,2
289,13.04,566,0.53,4.91,1
307,7.38,509,0.69,3.01,1
189,7.54,436,0.44,7.4,0
373,11.9,827,0.8,9.03,2
307,10.28,517,0.33,3.49,1
271,9.58,629,0.45,0.34,1
374,11.74,830,0.8,8.69,2
370,12.35,823,0.8,9.03,2
235,5.22,363,0.43,4.01,0
306,5.14,303,0.55,0.95,1
242,8.55,403,0.44,4.77,0
376,11.85,829,0.8,8.94,2
302,8.76,641,0.52,4.67,1
257,6.61,595,0.55,5.18,1
164,8.52,444,0.48,8.45,0
180,8.95,680,0.35,4.97,0
364,11.31,822,0.8,9.03,2
169,5.73,508,0.45,0.21,0
285,13.55,464,0.51,7.41,1
94,73.09,523,0.57,5.16,0
305,8.99,446,0.39,5.44,1
367,7.03,584,0.43,0.22,1
199,7.83,528,0.65,4.15,0
301,9.74,648,0.67,4.68,1
367,11.81,838,0.8,8.93,2
367,11.82,824,0.8,8.72,2
65,5.92,537,0.61,3.5,0
283,19.24,645,0.66,3.39,1
367,11.92,823,0.8,9.03,2
364,12.14,835,0.8,8.06,2
205,8.61,567,0.24,6.04,0
360,11.81,827,0.8,9.03,2
305,93.73,438,0.47,2.43,1
308,11.98,475,0.58,2.96,1
369,12.07,814,0.8,8.75,2
211,5.92,540,0.5,3.64,0
366,12.09,839,0.8,9.03,2
54,6.5,360,0.49,5.02,0
325,6.62,543,0.52,2.59,1
202,5.96,308,0.55,3.73,0
237,9.14,639,0.61,3.28,0
371,12.28,842,0.8,8.36,2
263,6.98,397,0.37,1.17,1
358,12.18,817,0.8,8.81,2
326,8.2,312,0.49,6.55,1
279,10.11,371,0.57,9.08,1
113,6.56,429,0.54,0.27,1
338,8.8,629,0.56,3.95,1
362,11.57,831,0.8,8.81,2
259,8.15,365,0.67,4.97,1
